方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
N,03F-102.2N,3.2,3.8,茄苳,新竹系統(連接國1),N,24.757914,E,120.972267
N,03F-105.1N,5.3,6.3,香山,茄苳,N,24.753094,E,120.945675
N,03F-112.8N,5.6,6.7,西濱(連接台61),香山,N,24.711383,E,120.889639
N,03F-116.1N,3.7,4.4,竹南,西濱(連接台61),N,24.698006,E,120.860086
N,03F-121.5N,5.4,6.4,大山,竹南,N,24.655964,E,120.838242
N,03F-125.7N,5.7,6.8,後龍,大山,N,24.627161,E,120.814006
N,03F-133.2N,4.7,5.6,西湖服務區,後龍,N,24.579642,E,120.764417
N,03F-139.5N,9.4,11.2,通霄,西湖服務區,N,24.531125,E,120.733253
N,03F-148.5N,12.5,15,苑裡,通霄,N,24.467308,E,120.681217
N,03F-163.3N,7.5,9,大甲,苑裡,N,24.341119,E,120.651567
N,03F-165.1N,4.7,5.6,中港系統(連接國4),大甲,N,24.334719,E,120.635578
N,03F-171.0N,3.5,4.2,清水服務區,中港系統(連接國4),N,24.292881,E,120.601964
N,03F-173.9N,3.7,4.4,沙鹿,清水服務區,N,24.269464,E,120.590806
N,03F-177.9N,6.7,8,龍井,沙鹿,N,24.234647,E,120.593306
N,03F-186.0N,8.8,10.5,和美,龍井,N,24.177831,E,120.548244
N,03F-194.1N,5.1,6.1,彰化系統(連接國1),和美,N,24.120947,E,120.534547
N,03F-199.2N,5.4,6.4,快官(連接台74),彰化系統(連接國1),N,24.102525,E,120.578747
N,03F-206.6N,5.2,6.2,烏日,快官(連接台74),N,24.070333,E,120.639711
N,03F-207.8N,1.8,2.1,中投(連接台63),烏日,N,24.067958,E,120.651433
N,03F-210.0N,2.3,2.7,霧峰(台3線、太平-台74),中投(連接台63),N,24.060428,E,120.671533
N,03F-212.5N,2.9,3.4,霧峰系統(連接國6),霧峰(台3線、太平-台74),N,24.040994,E,120.677853
N,03F-215.3N,3,3.6,草屯,霧峰系統(連接國6),N,24.01894444,E,120.6631611
N,03F-219.4N,5.6,6.7,中興系統(台76-八卦山隧道),草屯,N,23.985844,E,120.652714
N,03F-223.1N,1.8,2.1,中興,中興系統(台76-八卦山隧道),N,23.957103,E,120.657614
N,03F-226.0N,3.8,4.5,南投,中興,N,23.937928,E,120.676853
N,03F-230.6N,3,3.6,南投服務區,南投,N,23.906781,E,120.702828
N,03F-233.6N,5.6,6.7,名間,南投服務區,N,23.882031,E,120.709186
N,03F-241.5N,6.7,8,竹山,名間,N,23.814836,E,120.700003
N,03F-244.7N,6.3,7.5,南雲,竹山,N,23.787486,E,120.704519
N,03F-253.5N,10.2,12.2,斗六,南雲,N,23.775581,E,120.6259
N,03F-261.4N,8.1,9.7,古坑(文化路)&古坑系統(連接台78),斗六,N,23.724425,E,120.601786
N,03F-270.9N,2.1,2.5,古坑(朝陽路),古坑(文化路)&古坑系統(連接台78),N,23.64927778,E,120.5729111
N,03F-274.7N,5.7,6.8,古坑服務區,古坑(朝陽路),N,23.618203,E,120.558567
N,03F-277.7N,2.5,3,梅山,古坑服務區,N,23.606792,E,120.532511
N,03F-284.0N,9.6,11.5,竹崎(竹崎連絡道),梅山,N,23.558125,E,120.505061
N,03F-289.9N,2,2.4,竹崎(159縣道),竹崎(竹崎連絡道),N,23.511683,E,120.486328
N,03F-292.3N,6.5,7.8,中埔,竹崎(159縣道),N,23.492078,E,120.494586
N,03F-298.5N,2.9,3.4,水上系統(連接台82),中埔,N,23.442486,E,120.4812
N,03F-310.1N,11.3,13.5,白河,水上系統(連接台82),N,23.361253,E,120.436356
N,03F-318.7N,8.1,9.7,東山服務區,白河,N,23.296692,E,120.404164
N,03F-321.1N,2.8,3.3,柳營,東山服務區,N,23.279281,E,120.390253
N,03F-325.9N,7.1,8.5,烏山頭,柳營,N,23.244994,E,120.367378
N,03F-330.7N,5.1,6.1,官田系統(連接台84),烏山頭,N,23.203275,E,120.355461
N,03F-339.2N,5.3,6.3,善化,官田系統(連接台84),N,23.132064,E,120.333711
