編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-08-01 15:22:44,121.712,23.973,3.8,26.7,花蓮縣政府東方  9.6  公里 (位於臺灣東部海域)(臺灣東部海域)
437   ,2024-08-02 07:43:04,121.288,24.0052,4.1,5,花蓮縣政府西方  33.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-02 11:24:16,121.102,22.9003,3.7,12.5,臺東縣政府北北西方  16.9  公里 (位於臺東縣鹿野鄉)(臺東縣鹿野鄉)
小區域有感地震,2024-08-02 20:01:56,122.002,24.1233,3.7,26.5,花蓮縣政府東北東方  41.5  公里 (位於臺灣東部海域)(臺灣東部海域)
438   ,2024-08-02 20:25:58,121.489,23.9218,4.1,16.4,花蓮縣政府西南西方  15.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-02 22:35:30,121.298,24.0182,3.4,7.4,花蓮縣政府西方  32.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-03 07:04:24,121.279,24.0178,3.6,5,花蓮縣政府西方  34.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
439   ,2024-08-03 17:41:44,121.421,23.8187,4.2,23,花蓮縣政府西南方  27.8  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2024-08-05 16:24:26,120.719,23.5933,3.7,8.3,雲林縣政府東南東方  22.9  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2024-08-05 21:23:23,121.793,23.9373,3.9,26.1,花蓮縣政府東南東方  18.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-06 12:50:40,121.352,24.0852,3.3,5,花蓮縣政府西北西方  29.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-07 04:49:21,121.702,24.1838,3.2,17.2,花蓮縣政府北北東方  22.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-07 04:50:12,121.698,24.1895,3.2,16.8,花蓮縣政府北北東方  23.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-07 08:07:22,121.321,23.1185,3.5,18.1,臺東縣政府北北東方  43.9  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2024-08-08 03:49:42,121.669,24.1682,4,27,花蓮縣政府北北東方  20.3  公里 (位於花蓮縣近海)(花蓮縣近海)
